market,ma,ngay,khoi_luong_mua,gia_tri_mua,khoi_luong_ban,gia_tri_ban,khoi_luong_giao_dich_rong,gia_tri_giao_dich_rong,room_con_lai,dang_so_huu
HOSE,VPB,2022-11-21,4021860,62338830000,500912,7764136000,3520948,54574694000,266261,
HOSE,HPG,2022-11-21,8434000,126088300000,4955175,74079866250,3478825,52008433750,1699353378,
HOSE,FUEVFVND,2022-11-21,5268200,107102506000,2198000,44685340000,3070200,62417166000,15708648,
HOSE,MBB,2022-11-21,3235543,50798025100,1089002,17097331400,2146541,33700693700,15708648,
HOSE,POW,2022-11-21,2268600,23366580000,149100,1535730000,2119500,21830850000,1052838077,
HOSE,EIB,2022-11-21,820200,14804610000,100000,1805000000,720200,12999610000,78365489,
HOSE,NLG,2022-11-21,3446100,79432605000,2751888,63431018400,694212,16001586600,27889081,
HOSE,KBC,2022-11-21,861700,14476560000,318500,5350800000,543200,9125760000,244360374,
HOSE,VNM,2022-11-21,1319342,102776741800,803404,62585171600,515938,40191570200,924398053,
HOSE,SHB,2022-11-21,477600,4967040000,6500,67600000,471100,4899440000,661804002,
HOSE,SBT,2022-11-21,430000,4622500000,42900,461175000,387100,4161325000,575614605,
HOSE,VND,2022-11-21,997500,11271750000,646350,7303755000,351150,3967995000,1000005876,
HOSE,MSN,2022-11-21,578756,55039695600,246540,23445954000,332216,31593741600,273067287,
HOSE,KDH,2022-11-21,540800,12113920000,213330,4778592000,327470,7335328000,105856240,
HOSE,VCI,2022-11-21,594900,11243610000,294186,5560115400,300714,5683494600,356576227,
HOSE,BID,2022-11-21,337500,11981250000,36900,1309950000,300600,10671300000,655677729,
HOSE,HDB,2022-11-21,848344,12555491200,550405,8145994000,297939,4409497200,32,
HOSE,NT2,2022-11-21,338300,8203775000,84060,2038455000,254240,6165320000,96020365,
HOSE,SSI,2022-11-21,1147400,18473140000,905680,14581448000,241720,3891692000,934208243,
HOSE,HHS,2022-11-21,161100,550962000,0,0,161100,550962000,154634594,
HOSE,GMD,2022-11-21,204900,8564820000,46200,1931160000,158700,6633660000,2111542,
HOSE,PVD,2022-11-21,148900,1987815000,11900,158865000,137000,1828950000,180232577,
HOSE,HQC,2022-11-21,149800,307090000,19400,39770000,130400,267320000,226237461,
HOSE,VIC,2022-11-21,450150,28809600000,330476,21150464000,119674,7659136000,1386954676,
HOSE,TNH,2022-11-21,112700,3448620000,1510,46206000,111190,3402414000,5246069,
HOSE,HNG,2022-11-21,138800,599616000,30984,133850880,107816,465765120,534215933,
