market,ma,ngay,gia_dong_cua,gia_tri_thay_doi,phan_tram_thay_doi,gia_tham_chieu,gia_mo_cua,gia_cao_nhat,gia_thap_nhat,khoi_luong_giao_dich_khop_lenh,gia_tri_giao_dich_khop_lenh,khoi_luong_giao_dich_thoa_thuan,gia_tri_giao_dich_thoa_thuan
HOSE,YEG,2022-11-21,8.56,0.56,0.07,8.0,8.27,8.56,8.01,137000,1150000000,0,0
HOSE,VOS,2022-11-21,7.49,0.49,0.07,7.0,7.1,7.49,7.1,569500,4248000000,0,0
HOSE,THI,2022-11-21,21.4,1.4,0.07,20.0,21.4,21.4,21.4,100,2000000,0,0
HOSE,GVR,2022-11-21,13.0,0.85,0.07,12.15,12.45,13.0,12.4,2822100,36292000000,0,0
HOSE,VRC,2022-11-21,6.73,0.44,0.07,6.29,5.96,6.73,5.9,38000,247000000,0,0
HOSE,NVT,2022-11-21,6.59,0.43,0.0698,6.16,6.55,6.59,6.5,9600,62000000,0,0
HOSE,DXS,2022-11-21,5.37,0.35,0.0697,5.02,5.37,5.37,5.3,1559100,8365000000,0,0
HOSE,HTL,2022-11-21,15.35,1.0,0.0697,14.35,15.35,15.35,15.35,100,1000000,0,0
HOSE,NLG,2022-11-21,23.05,1.5,0.0696,21.55,23.0,23.05,22.55,5515400,127019000000,590000,13595500000
HOSE,ITC,2022-11-21,7.24,0.47,0.0694,6.77,7.24,7.24,7.24,41500,300000000,0,0
HOSE,DPG,2022-11-21,22.35,1.45,0.0694,20.9,22.3,22.35,21.4,441500,9786000000,0,0
HOSE,COM,2022-11-21,31.6,2.05,0.0694,29.55,27.55,31.6,27.55,300,9000000,0,0
HOSE,JVC,2022-11-21,2.93,0.19,0.0693,2.74,2.8,2.93,2.8,731400,2116000000,0,0
HOSE,PJT,2022-11-21,8.02,0.52,0.0693,7.5,7.5,8.02,7.5,600,4000000,0,0
HOSE,APH,2022-11-21,7.25,0.47,0.0693,6.78,6.8,7.25,6.8,2886200,20467000000,0,0
HOSE,ANV,2022-11-21,19.3,1.25,0.0693,18.05,18.9,19.3,18.65,989100,18939000000,797000,15143000000
HOSE,SJF,2022-11-21,3.09,0.2,0.0692,2.89,3.09,3.09,3.07,481200,1486000000,0,0
HOSE,NHA,2022-11-21,10.05,0.65,0.0691,9.4,10.0,10.05,9.7,331300,3315000000,0,0
HOSE,QCG,2022-11-21,4.33,0.28,0.0691,4.05,4.3,4.33,4.2,479400,2062000000,0,0
HOSE,SAM,2022-11-21,6.19,0.4,0.0691,5.79,5.86,6.19,5.86,2248300,13655000000,330000,1980000000
HOSE,PLP,2022-11-21,4.18,0.27,0.0691,3.91,3.96,4.18,3.9,178400,719000000,0,0
HOSE,TCH,2022-11-21,7.44,0.48,0.069,6.96,7.2,7.44,7.15,5389400,39524000000,0,0
HOSE,HAG,2022-11-21,7.75,0.5,0.069,7.25,7.75,7.75,7.54,16524200,127683000000,0,0
HOSE,ELC,2022-11-21,7.75,0.5,0.069,7.25,7.26,7.75,7.25,216500,1659000000,0,0
HOSE,HSG,2022-11-21,9.61,0.62,0.069,8.99,9.2,9.61,9.1,11423500,106997000000,2600,23374000
HOSE,TDH,2022-11-21,2.95,0.19,0.0688,2.76,2.79,2.95,2.76,270200,795000000,0,0
HOSE,GIL,2022-11-21,21.75,1.4,0.0688,20.35,21.6,21.75,21.05,698300,15109000000,0,0
HOSE,TTF,2022-11-21,4.04,0.26,0.0688,3.78,4.04,4.04,4.04,2162500,8736000000,0,0
HOSE,HHS,2022-11-21,3.42,0.22,0.0687,3.2,3.3,3.42,3.23,1939700,6553000000,0,0
HOSE,DAH,2022-11-21,3.42,0.22,0.0687,3.2,3.24,3.42,3.23,256800,861000000,0,0
HOSE,HAH,2022-11-21,28.0,1.8,0.0687,26.2,26.5,28.0,26.2,654800,18179000000,0,0
HOSE,LDG,2022-11-21,4.2,0.27,0.0687,3.93,3.91,4.2,3.9,8796400,35555000000,0,0
HOSE,TCD,2022-11-21,4.98,0.32,0.0687,4.66,4.98,4.98,4.91,645600,3214000000,0,0
HOSE,DTT,2022-11-21,12.45,0.8,0.0687,11.65,10.85,12.45,10.85,200,2000000,0,0
HOSE,PTC,2022-11-21,4.67,0.3,0.06860000000000001,4.37,4.55,4.67,4.09,180600,836000000,0,0
HOSE,LCG,2022-11-21,5.77,0.37,0.06849999999999999,5.4,5.53,5.77,5.45,3040600,17102000000,0,0
HOSE,APG,2022-11-21,3.28,0.21,0.0684,3.07,3.28,3.28,3.28,448300,1470000000,0,0
HOSE,TMS,2022-11-21,68.8,4.4,0.0683,64.4,68.8,68.8,68.8,100,6000000,0,0
HOSE,DLG,2022-11-21,1.88,0.12,0.0682,1.76,1.84,1.88,1.8,1527400,2850000000,0,0
HOSE,PC1,2022-11-21,16.45,1.05,0.0682,15.4,15.8,16.45,15.8,1409800,22938000000,0,0
HOSE,VAF,2022-11-21,9.27,0.59,0.068,8.68,8.21,9.27,8.21,300,2000000,0,0
HOSE,DRH,2022-11-21,3.3,0.21,0.068,3.09,3.3,3.3,3.2,959400,3150000000,0,0
HOSE,NAV,2022-11-21,19.65,1.25,0.0679,18.4,19.65,19.65,19.65,200,3000000,0,0
HOSE,LGL,2022-11-21,2.52,0.16,0.0678,2.36,2.37,2.52,2.37,139000,347000000,0,0
HOSE,HQC,2022-11-21,2.05,0.13,0.0677,1.92,1.98,2.05,1.95,10478700,21365000000,0,0
HOSE,TCR,2022-11-21,2.84,0.18,0.0677,2.66,2.66,2.84,2.66,9100,25000000,0,0
HOSE,FIT,2022-11-21,3.63,0.23,0.0676,3.4,3.59,3.63,3.41,2719700,9823000000,0,0
HOSE,EVG,2022-11-21,3.95,0.25,0.0676,3.7,3.78,3.95,3.6,1412200,5404000000,0,0
HOSE,NKG,2022-11-21,9.66,0.61,0.0674,9.05,9.13,9.66,9.1,7180600,67808000000,0,0
HOSE,DIG,2022-11-21,12.7,0.8,0.0672,11.9,12.7,12.7,12.45,29409600,372131000000,0,0
HOSE,QBS,2022-11-21,1.75,0.11,0.06709999999999999,1.64,1.68,1.75,1.6,687300,1181000000,0,0
HOSE,MCG,2022-11-21,1.75,0.11,0.06709999999999999,1.64,1.75,1.75,1.75,20100,35000000,0,0
HOSE,VIP,2022-11-21,6.71,0.42,0.0668,6.29,6.3,6.73,6.3,327500,2187000000,0,0
HOSE,HID,2022-11-21,2.56,0.16,0.0667,2.4,2.34,2.56,2.34,355200,895000000,0,0
HOSE,AMD,2022-11-21,1.12,0.07,0.0667,1.05,1.05,1.12,1.05,1467500,1640000000,0,0
HOSE,CII,2022-11-21,12.85,0.8,0.0664,12.05,12.5,12.85,12.05,4830700,60503000000,0,0
HOSE,HVH,2022-11-21,4.7,0.29,0.0658,4.41,4.62,4.7,4.55,137000,637000000,0,0
HOSE,VID,2022-11-21,6.08,0.37,0.06480000000000001,5.71,5.99,6.08,5.99,10100,60000000,0,0
HOSE,SMA,2022-11-21,7.4,0.45,0.0647,6.95,6.5,7.4,6.5,1100,7000000,0,0
HOSE,TIP,2022-11-21,16.45,1.0,0.0647,15.45,15.9,16.5,15.5,86400,1407000000,0,0
HOSE,SFI,2022-11-21,33.9,2.05,0.0644,31.85,31.8,33.9,31.8,16100,535000000,0,0
HOSE,ACL,2022-11-21,10.45,0.62,0.06309999999999999,9.83,10.2,10.5,9.95,122500,1271000000,0,0
HOSE,TBC,2022-11-21,29.2,1.7,0.061799999999999994,27.5,28.95,29.2,28.95,3500,101000000,0,0
HOSE,SCR,2022-11-21,5.0,0.29,0.0616,4.71,4.91,5.01,4.8,4452400,21950000000,0,0
HOSE,SHI,2022-11-21,14.8,0.85,0.060899999999999996,13.95,14.8,14.8,14.4,75500,1111000000,653000,9729700000
HOSE,AAA,2022-11-21,7.0,0.4,0.060599999999999994,6.6,6.65,7.04,6.61,4592100,31550000000,0,0
HOSE,GMC,2022-11-21,11.4,0.65,0.0605,10.75,11.0,11.45,11.0,3700,41000000,0,0
HOSE,CIG,2022-11-21,3.37,0.19,0.059699999999999996,3.18,3.18,3.4,3.15,117900,391000000,0,0
HOSE,TLD,2022-11-21,3.2,0.18,0.0596,3.02,3.05,3.2,3.05,65900,207000000,0,0
